Anio,Trimestre,Provincia,ADSL,Cablemodem,fibra_optica,Wireless,otras_tecnologias,accesos_hogares,banda_ancha,dial_up,velocidad_512kpbs,velocidad_1Mbps,velocidad_6Mbps,velocidad_10Mbps,velocidad_20Mbps,velocidad_30Mbps,velocidad_mas30Mbps,velocidad_otros,velocidad_bajada
2021,2,San Luis,8,11,28,67,36,8348,123,148.0,60.0,0.0,11.752,2.703,5.418,65.946,22.0,36.917,2.166
2021,2,Santa Cruz,12,23,6,4,3,4401,49,197.0,50.0,0.0,30.595,8.463,6.888,1.575,676.0,735.0,763.0
2021,2,Santa Fe,257,432,90,44,18,7507,840,151.0,467.0,896.0,202.018,204.077,80.452,75.195,262.124,15.371,3.07
2021,2,Santiago Del Estero,21,84,909,5,4,4656,114,1.0,123.0,909.0,32.034,62.224,10.359,811.0,6.064,1.566,1.272
2021,2,Tierra Del Fuego,13,23,6,14,316,6789,35,289.0,17.0,0.0,21.335,6.913,4.58,476.0,889.0,1.483,859.0
2021,2,Tucumán,110,48,72,2,743,5493,233,25.0,32.0,97.0,40.224,51.648,23.732,5.022,109.616,2.68,4.031
2021,1,Buenos Aires,630,2,822,99,58,6911,4,5.0,36.939,31.187,1108.368,240.52,163.747,222.061,2246.313,10.867,5.079
2021,1,Capital Federal,160,1,40,6,29,10842,1,1.0,135.0,244.0,159.662,76.753,56.457,83.255,1003.041,126.0,6.829
2021,1,Catamarca,26,4,19,322,2,4890,52,1.0,71.0,0.0,7.423,8.455,10.115,712.0,22.996,2.196,3.997
2021,1,Chaco,43,61,25,8,2,4314,140,3.0,301.0,112.0,24.357,22.102,27.556,14.496,42.462,8.384,3.363
2021,1,Chubut,46,41,3,24,19,6899,132,825.0,106.0,109.0,86.986,21.401,15.392,2.844,1.112,4.39,753.0
2021,1,Córdoba,260,445,135,54,17,7859,911,55.0,93.0,2.386,211.799,135.092,74.659,71.984,402.191,12.677,3.617
2021,1,Corrientes,49,63,3,6,5,4266,127,3.0,67.0,527.0,31.544,26.223,26.169,9.001,27.641,5.453,2.599
2021,1,Entre Ríos,84,118,17,21,12,6044,252,13.0,105.0,2.911,67.255,56.06,42.432,15.774,54.6,12.826,2.387
2021,1,Formosa,21,11,3,16,380,3273,51,0.0,56.0,0.0,22.409,7.569,7.916,1.215,9.579,1.942,2.098
2021,1,Jujuy,32,54,17,3,4,5563,110,0.0,49.0,175.0,23.735,17.293,40.649,568.0,25.609,2.378,2.678
2021,1,La Pampa,9,59,16,12,1,8178,97,116.0,298.0,554.0,68.2,7.864,7.611,2.786,7.368,2.424,1.073
2021,1,La Rioja,17,35,1,250,30,4981,53,3.0,18.0,1.0,36.749,5.968,4.604,215.0,5.074,-1.0,1.27
2021,1,Mendoza,92,69,39,18,833,3915,218,615.0,28.0,40.0,134.386,11.216,52.533,4.061,16.615,44.0,1.26
2021,1,Misiones,48,82,7,5,7,4317,149,0.0,51.0,524.0,40.949,25.503,27.101,14.05,32.953,8.256,2.508
2021,1,Neuquén,30,70,14,18,632,6684,133,373.0,116.0,327.0,56.171,8.443,5.903,5.677,50.84,5.758,3.424
2021,1,Río Negro,49,42,18,14,18,6088,141,501.0,125.0,466.0,70.011,4.187,13.045,3.642,29.589,20.103,2.192
2021,1,Salta,55,89,31,6,6,5393,188,2.0,109.0,20.0,40.785,68.149,9.164,8.139,54.889,6.319,2.732
